date,City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,acq_date,fire_count_all_india,z_score_pm25,is_anomaly_pm25,iforest_score,iforest_label
2015-10-31,Delhi,302.1,231.2,88.4,5.6,83.2,44.0,0.44,12.6,73.5,5.53,11.3,9.32,342.4,Moderate,,0.0,0.34678429086101364,False,-0.08177795856659076,False
2015-11-01,Delhi,294.9,348.1,192.5,111.1,198.8,22.6,3.77,48.7,7.6,6.82,18.37,4.88,221.9,Moderate,,0.0,0.29602932690033734,False,-0.11912404659166864,False
2015-11-02,Delhi,323.7,96.9,35.2,38.6,34.6,39.5,6.93,58.3,96.7,14.82,13.89,0.01,352.9,Satisfactory,,0.0,0.4990491827430414,False,-0.12094127435259672,False
2015-11-03,Delhi,110.4,133.7,59.1,29.3,83.7,11.8,5.89,61.6,19.8,0.6,13.55,6.14,409.1,Good,,0.0,-1.0045666245919846,False,-0.0985085474882037,False
2015-11-04,Delhi,387.3,270.2,195.7,114.2,213.7,2.4,4.89,63.2,7.0,5.85,5.36,0.01,134.5,Good,,0.0,0.9473846977290128,False,-0.10805749162706729,False
2015-11-05,Delhi,235.1,31.5,63.3,88.1,194.3,44.6,9.77,0.1,117.8,6.91,2.6,3.48,430.3,Severe,,0.0,-0.12551884599527705,False,-0.04859877390381051,False
2015-11-06,Delhi,275.5,596.0,93.6,115.5,204.6,6.7,9.69,91.6,39.0,5.6,25.74,2.61,337.0,Poor,,0.0,0.15927289622851606,False,-0.045212229909909474,False
2015-11-07,Delhi,331.0,111.2,145.0,103.5,216.2,9.3,3.74,58.0,44.7,19.68,15.31,1.73,447.7,Moderate,,0.0,0.5505090767587268,False,-0.10841260909621236,False
2015-11-08,Delhi,126.8,172.1,120.7,97.6,203.6,12.6,8.36,37.5,30.6,0.26,22.94,6.04,368.7,Poor,,0.0,-0.888958095570445,False,-0.10565324633707013,False
2015-11-09,Delhi,24.2,546.8,168.0,12.8,91.6,8.6,0.86,88.4,60.7,11.27,12.07,2.79,199.9,Good,,0.0,-1.612216332010078,False,-0.042852611002705765,False
2015-11-10,Delhi,348.1,96.7,27.5,69.9,44.3,20.9,9.62,79.7,138.8,16.46,22.14,9.66,174.9,Severe,,0.0,0.6710521161653324,False,-0.08981824630313084,False
2015-11-11,Delhi,426.4,14.8,48.8,144.2,146.3,27.8,3.39,20.2,109.9,13.64,4.29,8.96,212.0,Very Poor,,0.0,1.2230123492376836,False,-0.07093334837761123,False
2015-11-12,Delhi,292.6,540.6,176.1,18.3,151.5,48.1,1.54,85.9,119.6,3.07,3.46,5.34,405.3,Satisfactory,,0.0,0.2798159356351217,False,-0.07977478236262364,False
2015-11-13,Delhi,328.3,295.0,168.2,143.0,206.2,44.6,1.92,79.9,67.6,8.63,4.13,7.38,303.9,Poor,,0.0,0.5314759652734734,False,-0.10085932329629105,False
2015-11-14,Delhi,318.1,558.1,194.3,143.7,114.7,10.0,8.82,30.5,41.1,13.21,14.43,9.51,478.7,Poor,,0.0,0.45957309966251586,False,-0.052641186014191654,False
2015-11-15,Delhi,464.9,264.9,99.0,81.6,126.4,0.2,1.69,42.1,162.7,1.16,21.27,8.99,150.8,Satisfactory,,0.0,1.4944104204162982,False,-0.11746883977236489,False
2015-11-16,Delhi,284.3,423.1,29.5,140.7,248.7,2.2,0.79,23.3,160.4,3.61,28.35,9.45,498.7,Poor,,0.0,0.22130674106934237,False,-0.05839100162249844,False
2015-11-17,Delhi,365.8,59.1,133.4,40.1,157.1,16.9,6.84,49.9,4.8,11.66,29.45,2.63,187.3,Severe,,0.0,0.7958247359019942,False,-0.09284864827306333,False
2015-11-18,Delhi,409.8,182.2,70.6,23.8,8.2,5.5,0.35,40.8,124.8,0.8,20.86,5.26,176.2,Severe,,0.0,1.1059939601061253,False,-0.10168935998229889,False
2015-11-19,Delhi,133.7,563.7,133.1,121.5,48.5,34.4,7.61,46.4,142.6,7.69,25.23,9.6,125.8,Very Poor,,0.0,-0.8403179217747972,False,-0.09447550756245976,False
2015-11-20,Delhi,75.8,350.8,123.0,23.6,223.5,36.6,0.39,46.0,116.4,12.95,29.24,2.93,158.1,Poor,,0.0,-1.2484724236252331,False,-0.09448607062713349,False
2015-11-21,Delhi,112.3,110.5,126.5,0.8,38.9,2.4,9.28,58.9,191.2,18.81,9.37,5.27,415.1,Very Poor,,0.0,-0.9911729535468063,False,-0.02485018709626796,False
2015-11-22,Delhi,123.3,53.2,11.8,90.3,122.9,24.3,5.16,81.7,94.6,9.47,27.42,0.51,108.5,Good,,0.0,-0.9136306474957736,False,-0.10321236330773664,False
2015-11-23,Delhi,133.7,532.2,89.4,43.1,143.7,25.7,5.9,52.1,118.6,2.58,24.52,1.9,418.2,Satisfactory,,0.0,-0.8403179217747972,False,-0.11433196345767188,False
2015-11-24,Delhi,341.0,282.3,43.4,18.2,151.2,26.3,9.08,86.4,134.7,10.5,0.22,8.28,104.9,Poor,,0.0,0.6210020822596657,False,-0.0761165608736532,False
2015-11-25,Delhi,407.0,563.2,117.9,125.3,32.6,43.1,9.97,44.4,134.4,4.97,16.98,1.3,18.4,Poor,,0.0,1.0862559185658622,False,-0.0403435522800355,False
2015-11-26,Delhi,42.1,596.7,76.9,8.9,42.2,4.5,1.2,62.8,83.5,1.8,29.93,8.43,476.4,Severe,,0.0,-1.4860338521633973,False,-0.030178599501909265,False
2015-11-27,Delhi,196.1,126.5,188.4,26.8,193.4,18.4,2.12,1.0,186.7,16.38,19.18,8.16,185.5,Very Poor,,0.0,-0.40044156744893866,False,-0.06915154564265891,False
2015-11-28,Delhi,195.1,220.4,7.0,142.1,87.0,40.4,4.54,13.4,123.7,19.65,23.24,2.7,91.2,Satisfactory,,0.0,-0.40749086799903256,False,-0.09102716239176123,False
2015-11-29,Delhi,254.6,22.5,107.6,36.4,73.7,14.9,4.8,60.5,56.8,12.91,23.42,2.08,65.8,Very Poor,,0.0,0.011942514731553775,False,-0.109959805872129,False
2015-11-30,Delhi,196.6,305.7,139.8,103.5,52.9,44.9,3.21,94.6,111.9,19.63,7.31,3.45,110.6,Severe,,0.0,-0.3969169171738917,False,-0.10877540895413979,False
2015-12-01,Delhi,197.6,260.4,177.0,52.3,135.9,5.3,7.89,1.1,12.9,7.69,16.59,0.37,101.5,Severe,,0.0,-0.3898676166237978,False,-0.07379373552367857,False
2015-12-02,Delhi,370.9,3.5,49.5,11.6,228.4,8.6,5.93,44.5,122.4,14.24,22.13,6.32,450.6,Severe,,0.0,0.8317761687074728,False,-0.07119969174366136,False
2015-12-03,Delhi,394.8,555.9,50.0,5.3,229.3,18.7,9.27,76.9,17.5,17.14,8.5,3.12,76.9,Very Poor,,0.0,1.000254451854717,False,-0.03555716258943886,False
2015-12-04,Delhi,438.5,13.9,115.5,96.9,37.1,17.7,4.55,24.2,121.0,10.62,10.28,2.44,323.9,Moderate,,0.0,1.3083088858938197,False,-0.10507530947295252,False
2015-12-05,Delhi,411.3,396.3,97.2,80.6,140.4,6.3,4.48,11.5,132.3,4.84,0.74,7.69,484.9,Moderate,,0.0,1.116567910931266,False,-0.10146468268596481,False
2015-12-06,Delhi,241.4,22.2,102.0,112.9,74.6,4.3,7.13,13.8,62.7,12.05,17.03,7.49,476.2,Severe,,0.0,-0.08110825252968547,False,-0.0780014294202917,False
2015-12-07,Delhi,11.1,297.6,143.5,85.6,246.0,49.8,6.48,46.1,124.6,9.57,24.64,3.17,257.6,Satisfactory,,0.0,-1.7045621692163078,False,-0.10953427913128883,False
2015-12-08,Delhi,363.8,331.2,4.8,105.2,194.2,4.7,4.89,48.4,55.3,6.07,14.5,5.15,342.8,Satisfactory,,0.0,0.7817261348018064,False,-0.14244580443073412,False
2015-12-09,Delhi,404.3,22.6,178.8,89.9,27.5,33.4,4.57,12.4,175.1,9.55,6.18,8.97,118.7,Good,,0.0,1.067222807080609,False,-0.0825438335376576,False
2015-12-10,Delhi,50.3,539.3,192.8,91.1,18.5,0.8,6.58,47.6,40.2,14.18,6.87,0.82,267.2,Satisfactory,,0.0,-1.4282295876526274,False,-0.10579335467756018,False
2015-12-11,Delhi,163.1,573.4,123.6,113.6,63.3,15.2,5.3,67.7,74.3,7.0,2.91,3.59,89.2,Satisfactory,,0.0,-0.633068485602037,False,-0.09994726288329203,False
2015-12-12,Delhi,393.4,145.0,152.4,70.0,9.0,28.1,7.48,79.4,33.7,9.66,22.88,4.88,254.2,Good,,0.0,0.9903854310845853,False,-0.11151703003128083,False
2015-12-13,Delhi,455.1,381.2,110.2,109.1,28.9,45.5,5.65,13.6,8.8,14.19,0.78,3.23,492.1,Severe,,0.0,1.4253272750253785,False,-0.06946948260514518,False
2015-12-14,Delhi,264.9,15.5,136.3,130.5,167.4,8.3,5.13,69.7,146.8,1.95,20.54,5.92,314.9,Severe,,0.0,0.0845503103975207,False,-0.09798596866729675,False
2015-12-15,Delhi,216.9,514.4,191.7,61.9,194.4,42.2,9.78,64.1,144.6,7.02,12.96,1.67,367.8,Poor,,0.0,-0.2538161160069857,False,-0.09147438217739051,False
2015-12-16,Delhi,135.8,374.0,143.6,102.1,202.3,16.5,8.64,90.9,40.4,14.27,8.64,8.87,390.6,Poor,,0.0,-0.8255143906196,False,-0.09046114816573703,False
2015-12-17,Delhi,246.6,0.7,60.7,30.4,109.9,47.3,7.54,81.0,185.1,6.19,9.96,0.7,207.4,Satisfactory,,0.0,-0.044451889669197324,False,-0.08296066424353787,False
2015-12-18,Delhi,444.0,205.9,41.4,34.0,68.7,40.6,2.57,6.7,178.6,2.48,17.01,0.15,305.2,Very Poor,,0.0,1.3470800389193363,False,-0.09213043852591457,False
2015-12-19,Delhi,374.7,316.5,184.6,32.0,219.7,31.4,1.11,1.9,157.1,5.68,18.6,5.56,169.2,Severe,,0.0,0.8585635107978297,False,-0.08317637415160661,False
2015-12-20,Delhi,139.8,86.5,12.0,72.7,125.7,5.7,2.47,29.9,173.9,9.84,10.54,5.8,387.6,Good,,0.0,-0.7973171884192244,False,-0.0924201142607885,False
2015-12-21,Delhi,46.8,2.7,49.3,2.8,189.9,17.3,7.53,73.2,193.0,9.46,15.84,4.52,349.6,Good,,0.0,-1.452902139577956,False,-0.02144239168310824,False
2015-12-22,Delhi,392.9,544.6,102.0,55.0,124.3,24.6,8.8,42.3,71.1,17.38,20.84,6.75,297.3,Good,,0.0,0.9868607808095383,False,-0.1003715088950391,False
2015-12-23,Delhi,420.7,244.4,9.7,37.7,72.8,35.7,5.98,4.1,120.7,18.94,5.03,9.46,288.3,Very Poor,,0.0,1.1828313361021485,False,-0.10580112724664992,False
2015-12-24,Delhi,114.4,84.9,10.7,22.8,17.2,14.9,1.47,46.0,145.7,2.42,13.81,1.42,144.5,Severe,,0.0,-0.9763694223916092,False,-0.09056897582170548,False
2015-12-25,Delhi,398.4,38.6,153.1,125.4,20.3,43.5,7.75,95.8,89.9,15.59,17.24,2.63,360.8,Poor,,0.0,1.0256319338350548,False,-0.06800108980762087,False
2015-12-26,Delhi,323.5,151.3,167.5,30.0,34.6,2.8,7.36,59.6,193.8,16.84,12.99,7.69,272.6,Satisfactory,,0.0,0.4976393226330227,False,-0.10370678177518039,False
2015-12-27,Delhi,99.7,303.4,99.1,115.7,88.5,1.6,7.64,65.7,61.0,4.53,24.72,6.11,423.2,Satisfactory,,0.0,-1.0799941404779894,False,-0.11676474097442835,False
2015-12-28,Delhi,242.9,254.4,154.2,43.4,4.6,4.0,9.9,3.6,75.7,5.1,27.79,8.82,329.5,Poor,,0.0,-0.07053430170454462,False,-0.07538019355495013,False
2015-12-29,Delhi,176.2,378.8,26.8,102.2,219.6,20.9,7.29,22.8,195.1,1.21,7.29,2.11,246.4,Poor,,0.0,-0.5407226483958071,False,-0.1010867629474329,False
2015-12-30,Delhi,356.6,403.6,184.0,14.5,91.6,42.6,0.64,78.2,92.6,16.21,27.38,5.17,40.0,Severe,,0.0,0.7309711708411305,False,-0.06884830801459607,False
2015-12-31,Delhi,199.2,353.6,118.1,87.2,114.5,33.9,4.65,99.5,158.7,18.91,28.68,4.52,448.2,Good,,0.0,-0.37858873574364765,False,-0.09384982834894989,False
2016-01-01,Delhi,195.4,42.3,157.9,73.6,80.9,6.1,4.02,97.2,94.1,11.91,5.46,1.08,380.6,Very Poor,,0.0,-0.4053760778340043,False,-0.09274057536288571,False
2016-01-02,Delhi,294.0,360.0,137.4,92.8,189.7,45.1,9.02,31.7,167.7,1.38,24.28,9.94,245.5,Very Poor,,0.0,0.289684956405253,False,-0.11719777905671275,False
2016-01-03,Delhi,420.7,169.1,0.8,54.1,40.4,46.9,7.29,62.8,118.6,3.21,9.56,4.58,320.0,Poor,,0.0,1.1828313361021485,False,-0.12683398082398445,False
2016-01-04,Delhi,2.8,582.8,59.9,23.6,170.4,5.8,6.05,69.3,16.4,16.26,12.92,0.17,376.5,Very Poor,,0.0,-1.763071363782087,False,-0.05152318116278998,False
2016-01-05,Delhi,53.1,286.2,106.3,72.2,226.3,29.1,6.37,77.1,167.6,10.67,8.32,4.28,53.6,Good,,0.0,-1.4084915461123646,False,-0.08929199473639854,False
2016-01-06,Delhi,303.7,367.8,182.6,26.2,227.1,7.8,5.12,0.7,11.6,5.09,29.75,6.86,55.6,Satisfactory,,0.0,0.35806317174116364,False,-0.06669185132839783,False
2016-01-07,Delhi,184.9,26.4,47.0,77.8,136.5,31.7,0.19,7.1,93.8,10.01,2.14,4.13,153.5,Very Poor,,0.0,-0.4793937336099901,False,-0.0655129331775367,False
2016-01-08,Delhi,49.0,504.4,78.5,96.8,52.5,26.2,1.65,98.9,80.2,0.51,18.75,5.81,471.3,Satisfactory,,0.0,-1.4373936783677494,False,-0.04289114487473855,False
2016-01-09,Delhi,455.4,162.7,196.2,71.0,88.0,15.3,6.21,13.3,106.7,9.37,18.17,9.77,359.7,Severe,,0.0,1.4274420651904063,False,-0.11442856301258347,False
2016-01-10,Delhi,64.1,548.9,92.0,0.9,246.6,16.3,3.24,18.0,64.5,0.41,11.08,9.34,335.4,Very Poor,,0.0,-1.3309492400613319,False,-0.05110240263036214,False
2016-01-11,Delhi,13.9,353.0,48.7,109.1,232.5,48.9,7.23,97.3,49.6,5.84,18.74,5.68,80.4,Satisfactory,,0.0,-1.684824127676045,False,-0.05704520104096933,False
2016-01-12,Delhi,135.4,183.8,76.1,43.0,241.0,9.4,2.17,33.9,75.0,8.3,3.02,5.9,220.1,Good,,0.0,-0.8283341108396376,False,-0.12234013419473916,False
2016-01-13,Delhi,67.3,417.2,9.5,75.8,198.2,24.1,7.86,24.5,95.0,2.07,21.38,3.68,472.0,Satisfactory,,0.0,-1.3083914783010313,False,-0.08850104103045842,False
2016-01-14,Delhi,244.0,409.8,79.7,31.1,129.4,13.7,0.25,28.7,161.7,8.16,28.37,9.77,423.5,Satisfactory,,0.0,-0.06278007109944139,False,-0.08698940675387928,False
2016-01-15,Delhi,195.0,278.0,187.8,45.3,243.0,22.4,3.1,5.6,89.9,10.92,26.95,8.03,119.1,Moderate,,0.0,-0.4081957980540419,False,-0.1024160457046403,False
2016-01-16,Delhi,125.9,297.1,10.4,76.5,76.2,7.5,1.88,17.6,81.3,14.19,6.21,5.31,174.6,Satisfactory,,0.0,-0.8953024660655294,False,-0.12441617646731584,False
2016-01-17,Delhi,157.9,217.6,175.7,42.2,141.3,4.5,4.28,49.5,171.0,8.16,8.83,5.76,95.7,Severe,,0.0,-0.6697248484625251,False,-0.11437692159396762,False
2016-01-18,Delhi,28.8,265.2,116.7,140.2,74.4,29.9,5.33,34.7,29.9,17.97,20.55,9.45,406.8,Poor,,0.0,-1.579789549479646,False,-0.08408492442690413,False
2016-01-19,Delhi,92.4,339.1,95.7,147.3,82.2,27.5,3.06,94.2,82.8,19.33,20.42,3.4,421.7,Severe,,0.0,-1.1314540344936748,False,-0.06958429113537146,False
2016-01-20,Delhi,368.1,87.2,164.0,122.0,167.1,40.1,1.94,83.3,102.8,2.36,5.38,6.42,292.4,Good,,0.0,0.8120381271672102,False,-0.09958854271002077,False
2016-01-21,Delhi,247.4,203.7,35.3,6.3,180.9,46.3,2.88,28.9,122.1,14.69,21.27,2.88,212.5,Poor,,0.0,-0.03881244922912214,False,-0.10983219247092202,False
2016-01-22,Delhi,200.5,33.8,57.6,135.5,202.7,10.4,0.46,20.9,135.7,2.55,9.55,3.86,134.5,Very Poor,,0.0,-0.3694246450285255,False,-0.06445207308869239,False
2016-01-23,Delhi,401.0,212.8,22.9,95.3,52.3,26.5,6.82,49.3,115.1,16.95,15.88,0.9,162.2,Satisfactory,,0.0,1.043960115265299,False,-0.13692944992435613,False
2016-01-24,Delhi,216.5,471.4,22.4,75.4,99.1,3.7,8.67,53.3,105.5,9.87,12.61,0.94,354.1,Poor,,0.0,-0.2566358362270233,False,-0.1212701785655298,False
2016-01-25,Delhi,224.8,501.0,144.2,117.2,230.3,47.9,8.05,2.6,105.9,7.8,7.3,5.32,16.2,Satisfactory,,0.0,-0.19812664166124397,False,-0.06170826685187336,False
2016-01-26,Delhi,435.9,76.4,177.4,129.4,152.0,3.6,0.76,48.3,61.9,8.46,19.87,3.41,460.2,Satisfactory,,0.0,1.2899807044635756,False,-0.06317536492069131,False
2016-01-27,Delhi,33.7,226.0,196.4,77.8,172.4,40.7,2.42,58.9,105.1,4.47,0.92,1.63,255.5,Good,,0.0,-1.545247976784186,False,-0.11697061287343785,False
2016-01-28,Delhi,203.7,8.0,151.4,11.7,44.3,17.1,1.62,42.9,196.6,17.14,26.24,6.85,125.0,Very Poor,,0.0,-0.3468668832682251,False,-0.04440543031687638,False
2016-01-29,Delhi,128.1,153.9,162.1,80.2,69.4,11.2,9.46,18.0,102.0,2.08,13.57,4.67,222.3,Poor,,0.0,-0.879794004855323,False,-0.09327916946311554,False
2016-01-30,Delhi,143.5,381.1,110.4,117.7,200.8,9.0,8.47,75.3,133.4,16.93,28.52,7.53,253.3,Satisfactory,,0.0,-0.771234776383877,False,-0.1101186919694861,False
2016-01-31,Delhi,185.6,594.4,11.6,106.9,245.6,3.3,9.28,33.7,141.2,2.6,15.59,7.48,143.5,Satisfactory,,0.0,-0.47445922322492445,False,-0.07106124486620269,False
2016-02-01,Delhi,202.5,539.9,37.9,101.0,161.4,34.5,9.67,96.7,54.8,17.58,26.03,6.64,457.8,Satisfactory,,0.0,-0.3553260439283377,False,-0.04564363447929698,False
2016-02-02,Delhi,252.1,239.3,57.3,1.9,157.2,41.6,7.82,61.8,134.7,19.17,26.21,2.38,19.3,Very Poor,,0.0,-0.005680736643680943,False,-0.07119108767141458,False
2016-02-03,Delhi,478.2,474.4,146.7,115.9,135.8,43.5,9.67,25.1,97.6,14.77,29.09,0.1,158.5,Moderate,,0.0,1.588166117732547,False,-0.07006711374396624,False
2016-02-04,Delhi,446.5,82.0,91.1,129.3,9.2,16.8,8.8,40.2,83.6,18.89,16.2,5.52,245.7,Good,,0.0,1.3647032902945708,False,-0.08713017567316556,False
2016-02-05,Delhi,486.9,87.5,68.0,20.0,242.7,6.4,3.92,93.6,152.3,8.22,17.69,4.78,108.5,Good,,0.0,1.6494950325183637,False,-0.05391439995170433,False
2016-02-06,Delhi,437.0,175.3,113.3,104.8,45.1,8.1,5.79,54.1,176.5,3.45,27.64,4.73,173.5,Very Poor,,0.0,1.2977349350686789,False,-0.11493556794195581,False
2016-02-07,Delhi,39.5,240.2,196.5,62.1,84.5,2.4,9.89,8.3,55.0,13.38,16.75,3.5,349.0,Moderate,,0.0,-1.5043620335936414,False,-0.06788417806858738,False
2016-02-08,Delhi,64.2,212.9,82.8,74.6,182.0,33.6,0.81,79.8,70.1,10.23,1.95,5.73,292.8,Satisfactory,,0.0,-1.3302443100063224,False,-0.09391506343827427,False
2016-02-09,Delhi,442.4,368.4,27.2,89.0,230.5,23.4,9.64,66.4,20.3,3.41,6.93,8.88,37.4,Good,,0.0,1.3358011580391858,False,-0.0730395933026694,False
2016-02-10,Delhi,317.1,233.1,56.3,62.1,72.7,36.8,0.5,61.3,3.5,4.78,29.09,2.91,197.1,Very Poor,,0.0,0.45252379911242196,False,-0.09693461046855795,False
2016-02-11,Delhi,87.0,339.8,99.0,136.1,190.7,34.0,9.57,79.7,169.8,14.42,17.9,6.27,288.2,Moderate,,0.0,-1.1695202574641819,False,-0.07454939712181968,False
2016-02-12,Delhi,255.9,403.4,127.1,118.2,130.1,39.4,9.64,72.5,99.5,3.16,13.2,5.54,358.0,Very Poor,,0.0,0.02110660544667591,False,-0.10848488892398583,False
2016-02-13,Delhi,275.3,41.9,42.2,3.7,3.3,4.9,5.72,88.7,94.5,0.68,20.6,4.81,50.1,Severe,,0.0,0.15786303611849736,False,-0.07024290810959011,False
2016-02-14,Delhi,43.7,272.8,122.1,51.6,180.5,26.6,4.72,81.7,149.8,1.81,19.44,8.29,31.8,Very Poor,,0.0,-1.4747549712832473,False,-0.08789449774101554,False
2016-02-15,Delhi,118.8,107.9,43.8,143.9,173.7,23.8,5.14,68.2,8.5,16.61,5.99,5.05,146.1,Poor,,0.0,-0.9453524999711961,False,-0.062338011759698664,False
2016-02-16,Delhi,375.3,522.5,12.6,53.8,12.5,24.8,1.81,49.9,111.1,2.48,15.01,6.27,6.6,Poor,,0.0,0.8627930911278862,False,-0.07373485335064883,False
2016-02-17,Delhi,37.6,424.4,35.0,128.7,140.7,0.5,8.19,82.0,137.7,5.54,0.14,9.94,48.1,Very Poor,,0.0,-1.51775570463882,False,-0.06928408327001856,False
2016-02-18,Delhi,202.4,60.0,94.1,41.9,239.3,29.6,4.51,94.8,130.9,4.65,22.06,8.2,288.0,Poor,,0.0,-0.3560309739833471,False,-0.09599082410714227,False
2016-02-19,Delhi,92.5,99.8,20.1,127.9,198.1,41.9,5.03,22.2,162.9,11.46,9.7,9.33,279.3,Moderate,,0.0,-1.1307491044386653,False,-0.08835229623624646,False
2016-02-20,Delhi,89.5,405.6,196.3,90.8,56.3,14.5,3.33,80.8,60.3,15.62,29.13,8.85,121.4,Satisfactory,,0.0,-1.151897006088947,False,-0.10684971028956253,False
2016-02-21,Delhi,452.0,527.8,89.7,62.2,238.5,29.9,2.23,81.2,180.1,16.21,29.03,2.32,278.3,Poor,,0.0,1.4034744433200872,False,-0.0837655778895055,False
2016-02-22,Delhi,109.1,148.4,152.4,118.8,115.6,24.8,2.25,6.6,39.1,12.97,15.0,8.07,465.6,Severe,,0.0,-1.013730715307107,False,-0.06717872893027965,False
2016-02-23,Delhi,371.6,492.9,193.7,28.3,175.3,33.8,9.64,1.4,78.3,11.57,17.22,8.74,238.4,Satisfactory,,0.0,0.8367106790925388,False,-0.06365409835458036,False
2016-02-24,Delhi,57.4,88.0,31.2,68.3,100.6,21.4,1.86,1.2,99.0,1.37,12.59,2.24,316.9,Good,,0.0,-1.3781795537469608,False,-0.07532014512828572,False
2016-02-25,Delhi,169.3,459.5,142.7,32.1,73.5,16.4,3.32,17.2,42.0,15.53,20.06,5.51,325.7,Moderate,,0.0,-0.5893628221914547,False,-0.1077005927274089,False
2016-02-26,Delhi,470.5,17.4,193.4,43.4,29.8,10.7,7.28,76.1,99.4,9.29,18.2,2.57,25.2,Satisfactory,,0.0,1.533886503496824,False,-0.06913852537094056,False
2016-02-27,Delhi,75.9,394.2,29.1,98.7,96.4,33.2,7.19,86.7,136.3,9.25,26.49,2.12,476.6,Poor,,0.0,-1.2477674935702239,False,-0.09403989955630865,False
2016-02-28,Delhi,199.9,524.4,110.7,58.7,69.3,4.0,0.28,92.9,130.5,14.62,9.89,8.69,103.2,Moderate,,0.0,-0.3736542253585818,False,-0.07031477520648399,False
2016-02-29,Delhi,222.1,57.8,20.7,58.0,115.2,20.5,1.07,4.3,128.1,18.87,14.82,6.55,109.7,Severe,,0.0,-0.21715975314649757,False,-0.0806369936836715,False
2016-03-01,Delhi,316.5,164.6,103.8,129.9,186.2,38.8,9.4,52.7,87.1,7.38,26.29,6.62,421.5,Good,,0.0,0.4482942187823655,False,-0.0979364155166716,False
2016-03-02,Delhi,190.1,424.4,140.6,107.0,111.3,39.5,5.84,14.3,83.6,6.57,29.6,6.06,224.6,Satisfactory,,0.0,-0.442737370749502,False,-0.12251496336250084,False
2016-03-03,Delhi,257.8,467.4,59.0,123.6,8.8,27.5,6.97,87.4,36.8,6.72,15.12,5.09,324.2,Very Poor,,0.0,0.03450027649185434,False,-0.0964372777478571,False
2016-03-04,Delhi,389.7,422.7,103.4,92.6,153.3,11.1,6.7,55.4,162.4,2.63,22.26,1.76,58.2,Moderate,,0.0,0.964303019049238,False,-0.11003160766850234,False
2016-03-05,Delhi,461.7,576.2,0.6,90.4,239.7,29.8,5.27,55.6,137.4,16.78,15.92,0.91,298.2,Satisfactory,,0.0,1.471852658655998,False,-0.10537157826322907,False
2016-03-06,Delhi,113.9,85.4,191.9,37.3,179.1,5.5,5.18,76.0,176.9,18.62,27.12,7.5,431.7,Moderate,,0.0,-0.9798940726666562,False,-0.08322581942178925,False
2016-03-07,Delhi,99.8,95.8,72.7,30.0,107.2,46.0,0.33,38.8,84.4,7.43,7.22,8.99,229.0,Severe,,0.0,-1.0792892104229799,False,-0.0915410922572184,False
2016-03-08,Delhi,322.5,253.1,124.9,21.8,151.7,34.5,4.92,75.9,25.3,6.1,27.29,0.28,308.6,Good,,0.0,0.4905900220829288,False,-0.10595271322055899,False
2016-03-09,Delhi,157.1,326.7,2.8,26.2,38.6,25.1,4.95,53.7,12.7,6.51,29.93,0.68,322.4,Very Poor,,0.0,-0.6753642889026003,False,-0.10987062752421073,False
2016-03-10,Delhi,125.5,393.1,47.6,13.1,42.3,3.5,0.68,83.2,37.3,18.19,26.15,0.95,414.0,Moderate,,0.0,-0.8981221862855671,False,-0.061075420375946377,False
2016-03-11,Delhi,253.2,258.1,91.3,125.5,78.6,3.3,6.63,8.4,111.8,4.76,10.73,3.71,444.2,Good,,0.0,0.002073493961422293,False,-0.09818170834887752,False
2016-03-12,Delhi,150.4,205.1,57.1,147.2,98.3,41.3,1.66,66.8,158.6,15.13,13.44,8.63,258.3,Poor,,0.0,-0.7225946025882293,False,-0.09187810640445754,False
2016-03-13,Delhi,0.4,468.2,5.4,82.5,119.0,35.3,9.45,60.6,135.8,19.47,17.84,6.02,246.8,Good,,0.0,-1.7799896851023125,False,-0.07130892517171072,False
2016-03-14,Delhi,157.8,229.1,161.2,106.6,203.0,28.8,1.43,56.1,89.8,4.41,23.53,8.6,416.5,Good,,0.0,-0.6704297785175344,False,-0.12388122963963982,False
2016-03-15,Delhi,387.6,13.4,62.9,110.6,149.8,5.6,9.54,14.0,194.5,0.69,23.21,2.06,52.1,Very Poor,,0.0,0.949499487894041,False,-0.03386009129463974,False
2016-03-16,Delhi,299.5,26.0,129.8,22.7,110.4,38.2,1.89,92.5,160.8,0.86,13.27,6.25,303.9,Moderate,,0.0,0.32845610943076936,False,-0.06792495299948398,False
2016-03-17,Delhi,144.3,591.3,52.1,46.1,163.8,8.6,7.17,79.2,94.9,15.73,6.08,1.63,163.9,Satisfactory,,0.0,-0.7655953359438019,False,-0.0928292650321802,False
2016-03-18,Delhi,234.2,237.7,8.6,134.6,106.8,16.1,2.23,28.2,75.1,0.94,6.48,0.56,262.1,Very Poor,,0.0,-0.13186321649036156,False,-0.12229984612676503,False
2016-03-19,Delhi,107.4,494.2,163.3,73.5,53.1,48.7,4.88,37.1,26.0,0.19,22.91,0.19,248.4,Moderate,,0.0,-1.0257145262422664,False,-0.11916287445703094,False
2016-03-20,Delhi,174.7,398.9,189.1,32.2,47.7,7.3,3.76,82.6,89.7,4.12,17.6,0.78,60.1,Very Poor,,0.0,-0.5512965992209479,False,-0.10604906332132291,False
